# 78
13,1
45,6
45,24
45,19
45,7
56,1
56,24
56,19
56,7
63,56
76,56
84,1
84,24
84,19
84,7
14,56
76,40
14,48
14,48
76,160
76,160
14,48
14,112
14,112
14,48
76,256
14,344
76,336
14,320
76,320
14,112
76,256
14,112
76,112
76,112
14,48
14,48
14,48
76,112
14,48
76,48
14,112
14,112
76,48
14,408
76,112
14,56
76,112
76,112
14,56
14,112
76,264
76,56
76,296
76,136
14,56
14,48
76,256
76,176
76,1648
76,256
14,48
14,48
76,2384
14,48
14,48
14,48
76,112
76,112
14,48
14,48
76,56
14,48
14,48
76,56
14,48
14,48
76,48
14,48
14,112
76,48
14,112
14,112
14,112
76,56
14,112
14,112
76,48
14,112
76,56
76,112
76,112
76,112
14,112
14,112
76,112
14,112
76,112
14,112
76,256
14,112
76,56
14,112
14,48
76,256
76,488
14,56
14,48
76,256
76,256
14,48
76,112
14,48
76,112
76,112
14,48
14,112
76,112
14,112
76,112
76,112
14,112
14,112
76,56
14,112
76,56
76,112
14,112
76,112
14,112
14,112
14,112
76,112
76,112
76,112
14,112
76,256
14,112
76,112
76,256
14,112
14,48
76,112
14,112
14,48
14,112
76,112
76,56
76,112
76,112
84,1
84,24
84,19
84,7
14,112
14,112
14,144
14,56
14,112
14,56
88,56
76,632
14,48
76,56
25,56
63,40
25,48
25,48
63,160
63,160
25,48
25,112
25,112
63,336
25,48
63,256
25,344
25,112
63,112
25,112
63,112
25,48
25,48
63,112
25,48
63,48
25,112
63,112
63,112
25,112
63,192
25,408
25,56
63,456
63,112
25,48
25,48
25,48
63,264
63,56
63,112
25,48
63,56
25,48
63,56
25,48
63,48
25,56
63,48
25,112
25,112
63,56
25,112
63,128
25,112
63,112
25,112
63,128
63,112
63,112
25,112
63,112
25,112
63,136
63,160
63,136
25,112
63,168
63,152
63,112
63,112
63,112
25,112
63,56
25,112
63,56
63,112
63,112
25,112
25,320
63,48
25,56
63,56
25,256
25,56
63,48
63,56
25,112
63,112
63,48
25,112
63,112
63,56
25,26976
25,56
14,280
63,112
76,56
14,56
14,56
14,56
76,1232
14,48
14,48
14,48
76,112
76,112
76,112
14,112
14,112
14,112
63,56
25,264
63,48
25,112
25,112
63,112
63,112
25,264
63,48
25,112
25,112
63,112
25,200
25,104
25,776
63,176
25,200
25,104
25,776
63,176
63,584
63,112
25,48
25,48
63,112
63,112
25,112
63,112
25,112
63,128
63,208
63,112
63,1000
63,128
63,112
63,208
25,112
25,272
63,1672
25,120
25,440
25,272
63,152
22,56
88,40
22,48
22,48
88,160
